peak_Hz,peak_Q,peak_mel,fourier_freq,        ampmax_n4,ampmax_n3,ampmax_n2,ampmax_n1,        ampmax_0,ampmax_p1,ampmax_p2,ampmax_p3,        num_samples,sample_rate,species
1734.375,45,1304.273695349327,2514,1664.0625,1218.75,1734.375,2718.75,1781.25,2695.3125,2671.875,1734.375,69600,48000,Blue Jay
4328.173828125,14,2779.2601035454527,435,4198.974609375,4285.107421875,4306.640625,4349.70703125,3036.181640625,2993.115234375,4155.908203125,4306.640625,63945,44100,Red-winged Blackbird
2734.716796875,53,2009.6367704220825,7108,1916.455078125,4909.5703125,4888.037109375,3165.380859375,3165.380859375,2648.583984375,2756.25,2799.31640625,63945,44100,Red-winged Blackbird
6007.763671875,67,3843.623303895436,8695,2734.716796875,2411.71875,5813.96484375,6115.4296875,6847.55859375,7472.021484375,7428.955078125,5986.23046875,63945,44100,Tufted Titmouse
7213.623046875,33,4399.591234802461,10458,1356.591796875,1378.125,1528.857421875,7945.751953125,6287.6953125,7622.75390625,7192.08984375,7170.556640625,63945,44100,Tufted Titmouse
2476.318359375,52,1903.9211763064616,3906,3122.314453125,3423.779296875,2476.318359375,3337.646484375,3057.71484375,2993.115234375,3057.71484375,3208.447265625,63945,44100,Blue Jay
2928.515625,54,2064.6758144450405,4259,2863.916015625,2906.982421875,7256.689453125,2648.583984375,2863.916015625,2928.515625,3057.71484375,2906.982421875,63945,44100,American Robin
7213.623046875,16,4399.591234802461,10446,9173.14453125,13285.986328125,14470.3125,7967.28515625,6201.5625,6459.9609375,6373.828125,1356.591796875,63945,44100,Tufted Titmouse
1679.58984375,44,1269.5050518489365,2429,3337.646484375,1722.65625,1701.123046875,3229.98046875,3036.181640625,1658.056640625,3165.380859375,1291.9921875,63945,44100,Blue Jay
3914.0625,13,2494.5486885421506,5652,6304.6875,6445.3125,5671.875,5156.25,4640.625,4148.4375,3960.9375,3937.5,69600,48000,Red-winged Blackbird
3273.046875,56,2239.003521681573,4726,4586.572265625,4349.70703125,4608.10546875,4608.10546875,3962.109375,3660.64453125,3445.3125,3316.11328125,63945,44100,Red-winged Blackbird
1550.390625,14,1202.7235902613256,174,1227.392578125,1270.458984375,1227.392578125,1227.392578125,1571.923828125,1658.056640625,1291.9921875,1507.32421875,63945,44100,Canada Goose
3919.04296875,14,2633.058990303261,166,3897.509765625,3940.576171875,1894.921875,1787.255859375,2799.31640625,2777.783203125,2820.849609375,2950.048828125,63945,44100,Blue Jay
1031.25,25,812.1934009894649,108,1898.4375,3562.5,1335.9375,1757.8125,3468.75,2507.8125,1265.625,1523.4375,69600,48000,Mallard
5232.568359375,17,3357.9119772274435,7571,5211.03515625,4220.5078125,5081.8359375,5383.30078125,5146.435546875,5447.900390625,5684.765625,2110.25390625,63945,44100,Brown-headed Cowbird
5085.9375,63,3096.466610829576,7486,5062.5,4828.125,4710.9375,5226.5625,5109.375,5085.9375,5203.125,5296.875,69600,48000,Tufted Titmouse
1507.32421875,42,1170.6620161542858,2200,1528.857421875,1507.32421875,3229.98046875,5986.23046875,5943.1640625,4005.17578125,2325.5859375,2799.31640625,63945,44100,Red-winged Blackbird
3117.1875,55,2064.6758144450405,4534,2601.5625,15023.4375,1242.1875,2296.875,3117.1875,2976.5625,3140.625,4218.75,69600,48000,Bald Eagle
2282.51953125,50,1663.3262981669018,3329,3273.046875,2562.451171875,3703.7109375,2691.650390625,2928.515625,2799.31640625,2777.783203125,3466.845703125,63945,44100,Rose-breasted Grosbeak
1125.0,32,681.1944653460027,1188,1195.3125,1523.4375,1359.375,1359.375,4335.9375,4476.5625,4312.5,1382.8125,69600,48000,American Robin
7406.25,70,3843.623303895436,9461,7382.8125,7500.0,2718.75,3046.875,7406.25,7242.1875,7312.5,7453.125,69600,48000,Brown-headed Cowbird
3660.64453125,57,2494.5486885421506,5304,3316.11328125,3682.177734375,3682.177734375,3617.578125,3531.4453125,3423.779296875,3294.580078125,3229.98046875,63945,44100,Blue Jay
4608.10546875,62,3013.922629388657,6683,2131.787109375,2928.515625,2153.3203125,4048.2421875,4565.0390625,4565.0390625,4651.171875,4608.10546875,63945,44100,Red-winged Blackbird
