peak_Hz,peak_Q,peak_mel,fourier_freq,        ampmax_n3,ampmax_n2,ampmax_n1,ampmax_0,ampmax_p1,ampmax_p2,        rms_min,rms_max,rms_mean,rms_std,flat_min,flat_max,flat_mean,flat_std,        rolloff_min,rolloff_max,rolloff_mean,rolloff_std,        num_samples,sample_rate,species
8957.8125,73,5173.901310238113,13043,8720.947265625,7988.818359375,9130.078125,7450.48828125,6998.291015625,4048.2421875,0.001091126,0.19178793,0.030180851,0.039508235,2.3533967e-05,0.121515885,0.027109236,0.03364529,5943.1640625,15137.841796875,9696.14296875,3150.6516480623095,63945,44100,Carolina Chickadee
2648.583984375,52,1903.9211763064616,3902,3316.11328125,1765.72265625,1270.458984375,2691.650390625,2648.583984375,2648.583984375,0.022251759,0.41888317,0.07477344,0.085311934,5.1258747e-05,0.0068798736,0.0014172831,0.0013926562,3509.912109375,7816.552734375,4833.42890625,972.5555767205185,63945,44100,Blue Jay
2131.787109375,49,1575.8281341171266,2959,2174.853515625,2045.654296875,2368.65234375,2088.720703125,2282.51953125,2110.25390625,0.004053991,0.12159444,0.025350656,0.02942063,2.4614188e-05,0.024541559,0.0074372217,0.0074762614,2282.51953125,10142.138671875,7090.969921875,2410.6221899659104,63945,44100,Blue Jay
4664.0625,62,2933.5790620740468,6750,4500.0,4710.9375,4476.5625,4500.0,4921.875,3445.3125,0.0046060635,0.0784327,0.027817681,0.027194839,0.0005412405,0.0991771,0.031209568,0.025759047,4781.25,16757.8125,11513.671875,4486.497930472352,69600,48000,American Robin
1378.125,41,1079.5148503509004,2021,1808.7890625,1593.45703125,1571.923828125,1248.92578125,1291.9921875,1378.125,0.0049313633,0.100886635,0.01742544,0.02228237,1.06282505e-05,0.0026360962,0.0009975501,0.00071171665,2131.787109375,5598.6328125,4192.773046875,873.6636589404683,63945,44100,American Crow
3251.513671875,55,2239.003521681573,4701,3186.9140625,3165.380859375,3294.580078125,3273.046875,3079.248046875,2885.44921875,0.020741131,0.2048504,0.051739033,0.046417855,3.659678e-05,0.0007924112,0.00018377675,0.00014006859,2713.18359375,5835.498046875,3785.537109375,849.2188633782698,63945,44100,Blue Jay
7838.0859375,71,4771.063912195746,11386,8290.283203125,7773.486328125,7838.0859375,7364.35546875,7902.685546875,7622.75390625,0.007380418,0.23629917,0.0455244,0.06390495,4.7161087e-05,0.01668302,0.006724142,0.004666449,8161.083984375,12596.923828125,9971.251171875,1288.1413190843753,63945,44100,Carolina Chickadee
820.3125,29,681.1944653460027,1029,5226.5625,1007.8125,1171.875,4101.5625,890.625,1078.125,0.03840092,0.0820233,0.047686975,0.006561355,0.00017007609,0.0012063235,0.0007437596,0.00017108237,3046.875,8437.5,5571.576286764706,755.0276565914744,69600,48000,American Robin
2993.115234375,49,1618.9862188629947,4359,2260.986328125,3014.6484375,2971.58203125,2971.58203125,2950.048828125,2217.919921875,0.005777415,0.29914385,0.056989733,0.09495295,1.8629973e-05,0.0046436368,0.0019544666,0.001144894,3682.177734375,7256.689453125,5296.134375,818.6508377416662,63945,44100,Blue Jay
1828.125,46,1339.9945670973298,2627,1851.5625,2765.625,2765.625,2765.625,1828.125,1875.0,0.0022998902,0.034218337,0.009770311,0.009318146,0.0007348708,0.2746198,0.08320666,0.074205205,6820.3125,20484.375,17261.201746323528,3631.065348935844,69600,48000,Blue Jay
