peak_Hz,peak_Q,peak_mel,fourier_freq,ampmax_n3,ampmax_n2,ampmax_n1,ampmax_0,ampmax_p1,ampmax_p2,num_samples,sample_rate,species
1757.8125,44,1269.5050518489365,2428,1664.0625,1664.0625,1710.9375,1757.8125,1687.5,1664.0625,69600,48000,American Robin
3359.1796875,56,2300.3243609551837,4862,3552.978515625,3445.3125,3380.712890625,3273.046875,3165.380859375,3186.9140625,63945,44100,Blue Jay
3036.181640625,54,2121.2222434897826,4415,3057.71484375,3014.6484375,2950.048828125,2842.3828125,2820.849609375,2842.3828125,63945,44100,Blue Jay
3014.6484375,54,2121.2222434897826,4380,2950.048828125,2971.58203125,2950.048828125,2885.44921875,2045.654296875,2260.986328125,63945,44100,American Robin
2226.5625,49,1575.8281341171266,3087,2812.5,1335.9375,2906.25,2203.125,2437.5,2179.6875,69600,48000,Eastern Bluebird
7321.2890625,70,4643.879394964275,10632,2002.587890625,2885.44921875,3014.6484375,7838.0859375,7708.88671875,7751.953125,63945,44100,Eastern Bluebird
7500.0,71,4399.591234802461,11083,4312.5,8742.1875,8039.0625,7921.875,7804.6875,7734.375,69600,48000,Brown-headed Cowbird
4521.97265625,61,2363.324628283645,4940,4651.171875,5017.236328125,5038.76953125,4005.17578125,4349.70703125,5232.568359375,63945,44100,American Goldfinch
2411.71875,50,1755.6828148163845,3233,2670.1171875,2540.91796875,2476.318359375,2304.052734375,2174.853515625,2088.720703125,63945,44100,Eastern Bluebird
2296.875,49,1618.9862188629947,3217,2460.9375,1242.1875,2132.8125,2554.6875,2250.0,1476.5625,69600,48000,Eastern Bluebird
2670.1171875,52,1903.9211763064616,3882,1679.58984375,2368.65234375,3165.380859375,3574.51171875,2583.984375,2691.650390625,63945,44100,Blue Jay
3304.6875,51,2179.317341151332,4813,1593.75,1781.25,3164.0625,3328.125,3304.6875,6539.0625,69600,48000,Blue Jay
1242.1875,39,969.3921237616194,1815,1195.3125,1195.3125,1218.75,1265.625,1242.1875,1195.3125,69600,48000,American Crow
2067.1875,47,1492.9327522878455,2937,2024.12109375,2024.12109375,2045.654296875,2024.12109375,2024.12109375,2002.587890625,63945,44100,Blue Jay
1873.388671875,14,1414.3980264081877,138,2906.982421875,2950.048828125,1873.388671875,1873.388671875,1894.921875,1894.921875,63945,44100,Blue Jay
1664.0625,45,1235.6632525954,2592,2132.8125,3117.1875,3046.875,3960.9375,4171.875,1664.0625,69600,48000,Blue Jay
7617.1875,71,4399.591234802461,11067,7687.5,7617.1875,7640.625,7476.5625,7593.75,8132.8125,69600,48000,Blue Jay
2217.919921875,49,1663.3262981669018,3321,1356.591796875,3574.51171875,2562.451171875,2368.65234375,2196.38671875,2304.052734375,63945,44100,Eastern Bluebird
3875.9765625,23,2633.058990303261,706,5857.03125,7407.421875,4285.107421875,3875.9765625,7924.21875,7816.552734375,63945,44100,American Robin
5882.8125,66,1618.9862188629947,3338,6164.0625,2320.3125,5812.5,2296.875,2273.4375,2343.75,69600,48000,Blue Jay
3445.3125,72,2363.324628283645,5010,3488.37890625,3596.044921875,3445.3125,3423.779296875,3359.1796875,2950.048828125,63945,44100,Blue Jay
2691.650390625,52,1903.9211763064616,3880,2411.71875,3165.380859375,2906.982421875,2670.1171875,2002.587890625,2110.25390625,63945,44100,American Robin
2777.783203125,52,1956.0649283422904,4045,1873.388671875,3273.046875,2756.25,2670.1171875,2648.583984375,2476.318359375,63945,44100,Blue Jay
6093.896484375,57,3843.623303895436,8847,6115.4296875,6115.4296875,6093.896484375,6050.830078125,6093.896484375,3466.845703125,63945,44100,Carolina Chickadee
3466.845703125,66,2363.324628283645,11244,5770.8984375,6201.5625,5964.697265625,3402.24609375,6201.5625,5921.630859375,63945,44100,Brown-headed Cowbird
1076.66015625,36,864.5929752468496,1504,1270.458984375,1421.19140625,1421.19140625,1227.392578125,1356.591796875,1335.05859375,63945,44100,Canada Goose
1873.388671875,46,1853.1674450398705,2780,1227.392578125,1335.05859375,1571.923828125,2648.583984375,2648.583984375,1894.921875,63945,44100,Blue Jay
4171.875,60,2705.1720466601614,6052,4218.75,4125.0,6070.3125,4054.6875,3187.5,1195.3125,69600,48000,American Goldfinch
1744.189453125,45,1304.273695349327,2513,1227.392578125,1851.85546875,1744.189453125,1744.189453125,1722.65625,1830.322265625,63945,44100,American Crow
1687.5,44,1269.5050518489365,105,1429.6875,1476.5625,1687.5,1734.375,1710.9375,1734.375,69600,48000,Blue Jay
3251.513671875,56,2239.003521681573,4720,3294.580078125,3186.9140625,3208.447265625,3143.84765625,3359.1796875,3251.513671875,63945,44100,Blue Jay
1550.390625,14,1202.7235902613256,174,1270.458984375,1227.392578125,1227.392578125,1571.923828125,1658.056640625,1291.9921875,63945,44100,Canada Goose
6029.296875,66,2494.5486885421506,8730,4155.908203125,4177.44140625,6373.828125,6115.4296875,6050.830078125,6007.763671875,63945,44100,Carolina Chickadee
1382.8125,41,1079.5148503509004,2015,1382.8125,1289.0625,1382.8125,1218.75,1382.8125,1382.8125,69600,48000,Canada Goose
4312.5,61,2779.2601035454527,121,5531.25,5882.8125,6328.125,4500.0,4382.8125,4031.25,69600,48000,Carolina Chickadee
2799.31640625,53,2009.6367704220825,4073,1227.392578125,1679.58984375,3768.310546875,4069.775390625,1421.19140625,2799.31640625,63945,44100,Blue Jay
2605.517578125,51,2064.6758144450405,3769,1937.98828125,2691.650390625,2950.048828125,2627.05078125,2734.716796875,2583.984375,63945,44100,American Robin
3820.3125,58,3843.623303895436,9350,3796.875,6632.8125,6445.3125,6398.4375,6375.0,6421.875,69600,48000,Carolina Chickadee
2906.25,25,1956.0649283422904,4252,2882.8125,2882.8125,2859.375,2789.0625,2835.9375,2882.8125,69600,48000,Blue Jay
3854.443359375,18,2562.8682859474306,5575,1528.857421875,2971.58203125,2110.25390625,4048.2421875,3832.91015625,3746.77734375,63945,44100,Blue Jay
1744.189453125,45,1339.9945670973298,2624,1550.390625,1701.123046875,1744.189453125,1614.990234375,1787.255859375,1658.056640625,63945,44100,American Robin
2971.58203125,50,2064.6758144450405,4296,3832.91015625,2906.982421875,2325.5859375,3208.447265625,2325.5859375,2217.919921875,63945,44100,American Robin
1313.525390625,40,1022.7276958555574,1871,1291.9921875,1205.859375,1227.392578125,1291.9921875,1291.9921875,1205.859375,63945,44100,American Crow
2411.71875,50,1903.9211763064616,3830,6826.025390625,6696.826171875,2627.05078125,2928.515625,3057.71484375,2713.18359375,63945,44100,Blue Jay
1205.859375,39,969.3921237616194,1747,1830.322265625,1270.458984375,1248.92578125,1248.92578125,1701.123046875,1658.056640625,63945,44100,American Crow
7312.5,70,4168.153689421891,10596,1218.75,1851.5625,2507.8125,7218.75,7289.0625,7312.5,69600,48000,Carolina Chickadee
1335.05859375,40,1050.7377101547431,1924,1205.859375,1356.591796875,1248.92578125,1205.859375,1464.2578125,1335.05859375,63945,44100,American Crow
